,,,,,,,,,,,Map,,,Barchart,,,,,Linechart,,,,,,,,,,,,,Visual Features,,,Inform the severity,,,,Gauge the impact of crisis,,,,,Forecast trends and influences,,,,Guide to mitigate risks,,,,,Examinie the nature of the crisis,,,,,Data Handling,,,,
Title,URL,Publisher,Country,Source Type,Date Recorded,Date,Data Citation,Data Update,Time-series,Interactivity,Choropleth Map,Bubble Map,Other Map,Classic Barchart,Simple Stacked Barchart,100% Stacked Barchark,Diverging Stacked Barchart,Spanchart,Classic Linechart,Areachart,Stacked Areachart,Streamgraph,Piechart,Treemap,Scatterplot,Network,Bubblechart,Flowchart,Heatmap,Radar,Other Chart,Small Multiples,Dashboard,Severity in general,Magnitude Spread,"Supplies, Preparedness Capacities",Historical comparison,Impacts in general,Economic impact,Social impact,Environment impact,Political impact,Policy Order Intervention Related,Forecasting,R-Naught,Projections of numbers,Guide in general,Social Distancing,PPE,Hygiene,Flatten the curve,Explain the nature of the crisis in general,Explain coronavirus,"Map symptoms, diagnosis, treatment",Explain transimission  & reasonableness of intervention,Contact Tracing,Health Equity & Vulnerability,Normalize,Log/ Linear,Data disclaimer,Uncertainty VIS,Annotation Events
"N.Y.C. Deaths Reach 6 Times the Normal Level, Far More Than Coronavirus Count Suggests - The New York Times",https://www.nytimes.com/interactive/2020/04/27/upshot/coronavirus-deaths-new-york-city.html,New York Times,USA,News Media,4/28/2020,4/27/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Going viral: Searching for answers in a coronavirus pandemic - Axios,https://www.axios.com/coronavirus-google-searches-dc472633-33c8-4ab2-97db-0f17c8e3d28d.html,Axios,USA,News Media,5/3/2020,4/27/2020,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U.S. coronavirus deaths in early weeks of pandemic exceeded official number - The Washington Post,https://www.washingtonpost.com/investigations/2020/04/27/covid-19-death-toll-undercounted,Washington Post,USA,News Media,5/20/2020,4/27/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Survey: How Big Is The Contact Tracing Workforce In U.S. States? : Shots - Health News : NPR,https://www.npr.org/sections/health-shots/2020/04/28/846736937/we-asked-all-50-states-about-their-contact-tracing-capacity-heres-what-we-learne,NPR,USA,News Media,4/28/2020,4/28/2020,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Coronavirus apps: the risk of slipping into a surveillance state | Financial Times,https://www.ft.com/content/d2609e26-8875-11ea-a01c-a28a3e3fbd33,Financial Times,UK,News Media,5/2/2020,4/28/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How do people feel about ending the Covid-19 shutdown and going back to work?,https://medium.com/howwefeel/how-do-people-feel-about-ending-the-covid-19-shutdown-and-going-back-to-work-541bdf3dff14,Medium,USA,Independent Media,5/4/2020,4/28/2020,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"U.S. Coronavirus Death Toll Is Far Higher Than Reported, C.D.C. Data Suggests - The New York Times",https://www.nytimes.com/interactive/2020/04/28/us/coronavirus-death-toll-total.html,New York Times,USA,News Media,4/29/2020,4/28/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tracing COVID-19 Countries are turning to technology to monitor the spread of COVID-19. Some are using voluntary “contact-tracing,” apps. Spy firms say they should use mass surveillance instead.",https://graphics.reuters.com/HEALTH-CORONAVIRUS/SPY/qzjvqkkxovx/index.html,Reuters Graphics,UK,News Media,5/10/2020,4/28/2020,TRUE,FALSE,FALSE,Animation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
America’s pandemic safety net The U.S. will spend trillions to keep people and businesses afloat,https://graphics.reuters.com/HEALTH-CORONAVIRUS/USA-SAFETY-NET/rlgpdwwjjvo/index.html,Reuters Graphics,UK,News Media,5/10/2020,4/28/2020,TRUE,FALSE,FALSE,Scrollytelling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Packed With Migrant Workers, Dormitories Fuel Coronavirus in Singapore - The New York Times",https://www.nytimes.com/interactive/2020/04/28/world/asia/coronavirus-singapore-migrants.html,New York Times,USA,News Media,4/29/2020,4/29/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"US G.D.P. Declined in First Quarter, With Worse Economy to Come - The New York Times",https://www.nytimes.com/2020/04/29/business/economy/us-gdp.html,New York Times,USA,News Media,4/30/2020,4/29/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Make a mask,https://graphics.reuters.com/HEALTH-CORONAVIRUS/FACEMASKS/dgkvlgwzjpb/index.html,Reuters Graphics,UK,News Media,5/10/2020,4/29/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5 charts and graphs you can use to keep track of the coronavirus in Georgia,https://www.macon.com/news/state/article242312031.html,The Telegraph,USA,News Media,5/5/2020,4/29/2020,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
A Staggering Toll: 30 Million Have Filed For Unemployment : Coronavirus Live Updates : NPR,https://www.npr.org/sections/coronavirus-live-updates/2020/04/30/848021681/a-staggering-toll-30-million-have-filed-for-unemployment,NPR,USA,News Media,5/1/2020,4/30/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Coronavirus Pushes Colleges to the Breaking Point, Forcing ‘Hard Choices’ About Education - WSJ",https://www.wsj.com/articles/coronavirus-pushes-colleges-to-the-breaking-point-forcing-hard-choices-about-education-11588256157,Wall Street Journal,USA,News Media,5/1/2020,4/30/2020,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How Coronavirus Mutates and Spreads - The New York Times,https://www.nytimes.com/interactive/2020/04/30/science/coronavirus-mutations.html,New York Times,USA,News Media,4/30/2020,4/30/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"The Toughest Triage
When medical resources are limited, who should get care first?",https://graphics.reuters.com/HEALTH-CORONAVIRUS/ETHICS/oakpezqllvr/,Reuters Graphics,UK,News Media,5/10/2020,4/30/2020,TRUE,FALSE,FALSE,Scrollytelling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Giorgia Lupi and her Pentagram team reimagine Cuomo's PowerPoints,https://www.fastcompany.com/90498405/andrew-cuomos-powerpoints-are-endearingly-primitive-so-this-designer-redid-them,Fast Company,USA,News Media,5/21/2020,4/30/2020,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
How Long Will a Vaccine Really Take?,https://www.nytimes.com/interactive/2020/04/30/opinion/coronavirus-covid-vaccine.html,New York Times,USA,News Media,5/5/2020,4/30/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
How Coronavirus Mutates and Spreads - The New York Times,https://www.nytimes.com/interactive/2020/04/30/science/coronavirus-mutations.html,New York Times,USA,News Media,5/1/2020,4/30/2020,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Three-fifths of new coronavirus cases in China show no symptoms | Financial Times,https://www.ft.com/content/246560b7-dd05-4f1e-86c4-151e2351fd2e,Financial Times,UK,News Media,5/1/2020,5/1/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10 key lessons for the future to be learned from fighting Covid-19 | World news | The Guardian,https://www.theguardian.com/world/2020/may/01/10-key-lessons-for-future-learned-fighting-covid-19-coronavirus-society,The Guardian,UK,News Media,5/1/2020,5/1/2020,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"People Are Social Distancing Less, Cellphone Data Show : NPR",https://www.npr.org/2020/05/01/849161820/mobile-phone-data-show-more-americans-are-leaving-their-homes-despite-orders,NPR,USA,News Media,5/2/2020,5/1/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How to measure your nation’s response to coronavirus,https://www.nationalgeographic.com/science/2020/05/coronavirus-how-to-measure-your-nation-response-cvd/,National Geographic,USA,News Media,5/4/2020,5/1/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
The COVID-19 testing challenge Why it’s so hard to overcome testing shortages in the United States,https://graphics.reuters.com/HEALTH-CORONAVIRUS/TESTING/azgvomklmvd/index.html,Reuters Graphics,UK,News Media,5/10/2020,5/1/2020,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Coronavirus in the U.S.: Where cases are growing and declining,https://www.nationalgeographic.com/science/2020/05/graphic-tracking-coronavirus-infections-us/,National Geographic,USA,News Media,5/15/2020,5/1/2020,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Covid-19 death toll: U.S. excess fatalities hit estimated 37,100 in pandemic's early days - The Washington Post",https://www.washingtonpost.com/investigations/2020/05/02/excess-deaths-during-covid-19/,Washington Post,USA,News Media,5/3/2020,5/2/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Before their time - Would most covid-19 victims have died soon, without the virus? | Graphic detail | The Economist",https://www.economist.com/graphic-detail/2020/05/02/would-most-covid-19-victims-have-died-soon-without-the-virus,The Economist,UK,News Media,5/5/2020,5/2/2020,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
A global pandemic - The Economist’s coverage of the coronavirus | The Economist,https://www.economist.com/news/2020/03/11/the-economists-coverage-of-the-coronavirus,The Economist,UK,News Media,5/5/2020,5/2/2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"As of May 2nd, U.S. Mortality: Death Certificates Listing Pneumonia, Influenza, and COVID-19 (Animated GIF)",https://www.cdc.gov/coronavirus/2019-ncov/covid-data/images/us-mortality-graph-animated-may72020.gif,CDC,USA,Government,5/23/2020,5/2/2020,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
UGA students change summer plans as internships are canceled,https://www.redandblack.com/uganews/uga-students-change-summer-plans-as-internships-are-canceled/article_88943dcc-8c8d-11ea-a9bc-371b89515f24.html,Savannah Now,USA,News Media,5/5/2020,5/2/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(20) Ryan Singer on Twitter: ""This graph is severe. Shows the US isn't taking serious collective action. The countries who are winning treat covid like ebola, not the flu — something to stamp out, not live with. Need to amplify voices of pandemics experts like @yaneerbaryam. If you can help, get in touch. https://t.co/CqkooewsXY"" / Twitter",https://twitter.com/rjs/status/1256755348771229697,Twitter,USA,Social Media Posts,5/3/2020,5/3/2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Free meals for DC Area kids,https://public.tableau.com/profile/sue.grist#!/vizhome/Freemealsforkids/KidsFreeLunchLocations,Tableau,USA,NGO,5/4/2020,5/3/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This statistic is giving people a glimmer of hope about the Massachusetts coronavirus pandemic - The Boston Globe,https://www.bostonglobe.com/2020/05/04/nation/this-stat-is-giving-people-glimmer-hope-about-mass-coronavirus-pandemic/,Boston Globe,USA,News Media,5/5/2020,5/4/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
